name,description,cuisine_type,neighborhood,price_range,ai_confidence,source,verification_status,business_status,permanently_closed,google_name,google_address,google_rating,google_rating_count,price_level,open_now,current_hours,place_types,website,last_verified,google_place_id,url,verification_error
Fet-Fisk,"Nordic-Appalachian seafood restaurant, NY Times 50 Best Restaurants in America 2024, James Beard semifinalist chef Nik Forsberg, hyperseasonally changing menus with 90% farm-grown vegetables",Nordic-Appalachian,Bloomfield,Fine dining,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,FET-FISK restaurant + bar,"4786 Liberty Ave, Pittsburgh, PA 15224, USA",4.8,270,,False,"['Monday: 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 5:00\u2009–\u200910:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://www.fetfisk.net/,2025-08-13T15:08:29.269916,ChIJJz3ef1LzNIgR8aiq4fiCId0,https://maps.google.com/maps?place_id=ChIJJz3ef1LzNIgR8aiq4fiCId0,
Apteka,"Vegan Eastern European restaurant, NY Times 50 Best 2022, James Beard nominations 2022-2024, 72-hour preparation processes for vegan pierogies and cultured pumpkin seed cottage cheese",Eastern European,Bloomfield,Fine dining,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,APTEKA,"4606 Penn Ave, Pittsburgh, PA 15224, USA",4.7,1683,2,False,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 5:00\u2009–\u200910:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://aptekapgh.com/,2025-08-13T15:08:29.601809,ChIJ9Q1kJUTyNIgRuvW9f60WFmI,https://maps.google.com/maps?place_id=ChIJ9Q1kJUTyNIgRuvW9f60WFmI,
Chengdu Gourmet,"Authentic Sichuan cuisine from third-generation chef Wei Zhu, 2025 James Beard semifinalist, hundreds of traditional dishes focusing on mala (numbing-spicy) flavors",Chinese,Squirrel Hill,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Chengdu Gourmet（Squirrel Hill),"5840 Forward Ave, Pittsburgh, PA 15217, USA",4.4,928,2,False,"['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 4:00\u2009–\u20099:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 4:00\u2009–\u20099:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 4:00\u2009–\u20099:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 4:00\u2009–\u20099:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 4:00\u2009–\u200910:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 12:00\u2009–\u20099:30\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",https://www.chengdugourmetpa.com/,2025-08-13T15:08:29.889352,ChIJLd3F_PzxNIgRDq8xAmHQ18Q,https://maps.google.com/maps?place_id=ChIJLd3F_PzxNIgRDq8xAmHQ18Q,
Novo Asian Food Hall,"Asian food hall housing seven restaurants including Lolo's (Pittsburgh's first Filipino eatery), opened March 2024 in 8,600-square-foot space",Asian,Strip District,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Novo Asian Food Hall,"1931 Smallman St, Pittsburgh, PA 15222, USA",4.4,453,2,True,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']","['food', 'point_of_interest', 'establishment']",https://novoasianfoodhall.com/,2025-08-13T15:08:30.170082,ChIJxTA1HUbzNIgRO8FSP4Q1wAA,https://maps.google.com/maps?place_id=ChIJxTA1HUbzNIgRO8FSP4Q1wAA,
Lolo's,"Pittsburgh's first Filipino-focused eatery located within Novo Asian Food Hall, operates from compact 330-square-foot kitchen",Filipino,Strip District,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Lola's Eatery,"3337 Penn Ave, Pittsburgh, PA 15201, USA",4.4,348,2,False,"['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://lolaseatery.com/,2025-08-13T15:08:30.466899,ChIJjzk48mDzNIgRrWSmLUdNN3M,https://maps.google.com/maps?place_id=ChIJjzk48mDzNIgRrWSmLUdNN3M,
Piyola,"Uzbek restaurant featuring hand-pulled noodles and national dish plov, opened November 2024 as part of Pittsburgh's Uzbek restaurant trend",Uzbek,Mt. Lebanon,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,PIYOLA,"663 Washington Rd, Mt. Lebanon, PA 15228, USA",4.7,312,2,True,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u20099:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",,2025-08-13T15:08:30.752264,ChIJOWNeq8P3NIgR1uK1Ne82ZoI,https://maps.google.com/maps?place_id=ChIJOWNeq8P3NIgR1uK1Ne82ZoI,
Pusadee's Garden,"Upper Lawrenceville Thai restaurant, James Beard nomination 2024, 79-year-old matriarch uses tao charcoal cooking methods, 17-ingredient khao yum salad",Thai,Upper Lawrenceville,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Pusadee's Garden,"5319 Butler St, Pittsburgh, PA 15201, USA",4.7,1106,2,False,"['Monday: 5:00\u2009–\u20099:30\u202fPM', 'Tuesday: 5:00\u2009–\u20099:30\u202fPM', 'Wednesday: 5:00\u2009–\u20099:30\u202fPM', 'Thursday: 5:00\u2009–\u20099:30\u202fPM', 'Friday: 5:00\u2009–\u20099:30\u202fPM', 'Saturday: 5:00\u2009–\u20099:30\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://www.pusadeesgarden.com/,2025-08-13T15:08:31.053917,ChIJ2yPqm_fyNIgRrX4_XAqLAjw,https://maps.google.com/maps?place_id=ChIJ2yPqm_fyNIgRrX4_XAqLAjw,
Wise County Café,"Appalachian-inspired comfort food evolved from 2017 pop-up, signature laminated biscuit dough technique, late 2023 brick-and-mortar opening",Appalachian,North Side,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Wise County Biscuits & Cafe,"911 Galveston Ave, Pittsburgh, PA 15233, USA",4.8,460,2,False,"['Monday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: Closed', 'Wednesday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20092:30\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://www.wisecountybiscuits.com/,2025-08-13T15:08:31.352007,ChIJcZXDZWryNIgRkt84lahJFck,https://maps.google.com/maps?place_id=ChIJcZXDZWryNIgRkt84lahJFck,
The Brinery,"Elevated sandwich shop with house-made pickles and Pennsylvania Lobstery lobster roll, opened April 2024 after successful pop-ups",American,Sharpsburg,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,The Brinery,"914 Main St, Sharpsburg, PA 15215, USA",4.7,191,1,True,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://www.brinery412.com/,2025-08-13T15:08:31.611023,ChIJUXaRoGX3NIgRhrYGMlDCoFM,https://maps.google.com/maps?place_id=ChIJUXaRoGX3NIgRhrYGMlDCoFM,
Stuntpig,"Pop-up turned permanent July 2024, everything made in-house including bread, unique builds like Madonia's Muffuletta",American,Squirrel Hill,Mid-range,High,Claude Opus Research,VERIFIED,OPERATIONAL,False,Stuntpig,"1707 Murray Ave, Pittsburgh, PA 15217, USA",4.9,143,,True,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20097:00\u202fPM', 'Wednesday: 12:00\u2009–\u20097:00\u202fPM', 'Thursday: 12:00\u2009–\u20097:00\u202fPM', 'Friday: 12:00\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']","['restaurant', 'food', 'point_of_interest', 'establishment']",http://www.stuntpigpgh.com/,2025-08-13T15:08:31.910539,ChIJU4VRX7qhVkoR7vrWTlr3iUk,https://maps.google.com/maps?place_id=ChIJU4VRX7qhVkoR7vrWTlr3iUk,
